H2,CH4,C2H6,C2H4,C2H2,Fault Type,R1_C2H2_C2H4,R2_CH4_H2,R3_C2H4_C2H6,Rogers_Prediction,label_encoded,RF_Pred_encoded,RF_Pred_Label
1458.0,9.0,1812.0,1e-06,1e-06,Partial Discharge,1.0,0.006172839506172839,5.518763796909492e-10,Unknown/Other,5,5.0,Partial Discharge
2240.0,157.0,90.0,157.0,45.0,Partial Discharge,0.28662420382165604,0.07008928571428572,1.7444444444444445,Unknown/Other,5,5.0,Partial Discharge
73.0,8.0,4.0,2.0,12.0,Partial Discharge,6.0,0.1095890410958904,0.5,Unknown/Other,5,5.0,Partial Discharge
235.0,16.0,1e-06,35.0,1e-06,Partial Discharge,2.857142857142857e-08,0.06808510638297872,35000000.0,Unknown/Other,5,5.0,Partial Discharge
9340.0,995.0,60.0,6.0,7.0,Partial Discharge,1.1666666666666667,0.10653104925053533,0.1,Unknown/Other,5,5.0,Partial Discharge
33046.0,619.0,58.0,2.0,1e-06,Partial Discharge,5e-07,0.018731465230285058,0.034482758620689655,Partial Discharge (PD) / Low Energy Discharge,5,5.0,Partial Discharge
8266.0,1061.0,22.0,1e-06,1e-06,Partial Discharge,1.0,0.12835712557464313,4.545454545454545e-08,Unknown/Other,5,5.0,Partial Discharge
230.0,15.9,16.3,1.9,2.4,Partial Discharge,1.263157894736842,0.06913043478260869,0.1165644171779141,Unknown/Other,5,5.0,Partial Discharge
109.0,16.0,1e-06,1e-06,1e-06,Partial Discharge,1.0,0.14678899082568808,1.0,Unknown/Other,5,5.0,Partial Discharge
113.0,21.0,48.0,1e-06,4.0,Partial Discharge,4000000.0,0.18584070796460178,2.083333333333333e-08,Unknown/Other,5,5.0,Partial Discharge
1309.0,124.0,113.0,6.0,1e-06,Partial Discharge,1.6666666666666665e-07,0.09472880061115355,0.05309734513274336,Partial Discharge (PD) / Low Energy Discharge,5,5.0,Partial Discharge
1549.2,10.2,1e-06,53.19,1e-06,Partial Discharge,1.8800526414739613e-08,0.006584043377226955,53190000.0,Unknown/Other,5,5.0,Partial Discharge
101.0,8.1,1e-06,3.0,1e-06,Partial Discharge,3.333333333333333e-07,0.0801980198019802,3000000.0,Unknown/Other,5,5.0,Partial Discharge
36036.0,4704.0,554.0,5.0,10.0,Partial Discharge,2.0,0.13053613053613053,0.009025270758122744,Unknown/Other,5,5.0,Partial Discharge
160.0,10.0,3.0,1.0,1.0,Partial Discharge,1.0,0.0625,0.3333333333333333,Unknown/Other,5,5.0,Partial Discharge
1076.0,95.0,4.0,71.0,231.0,Partial Discharge,3.2535211267605635,0.08828996282527882,17.75,Unknown/Other,5,5.0,Partial Discharge
407.0,28.0,15.0,21.0,1e-06,Partial Discharge,4.761904761904762e-08,0.0687960687960688,1.4,Unknown/Other,5,5.0,Partial Discharge
2240.0,560.0,380.0,450.0,940.0,Partial Discharge,2.088888888888889,0.25,1.1842105263157894,Unknown/Other,5,5.0,Partial Discharge
92600.0,10200.0,1.0,2.0,1e-06,Partial Discharge,5e-07,0.1101511879049676,2.0,Low Temperature Overheating,5,5.0,Partial Discharge
2587.2,112.25,4.704,1.4,1e-06,Partial Discharge,7.142857142857143e-07,0.04338667285095857,0.2976190476190476,Partial Discharge (PD) / Low Energy Discharge,5,5.0,Partial Discharge
195.9,14.5,11.6,2.4,1e-06,Partial Discharge,4.1666666666666667e-07,0.07401735579377233,0.20689655172413793,Partial Discharge (PD) / Low Energy Discharge,5,5.0,Partial Discharge
180.85,0.574,0.234,0.188,1e-06,Partial Discharge,5.319148936170212e-06,0.003173901022947194,0.8034188034188033,Partial Discharge (PD) / Low Energy Discharge,5,5.0,Partial Discharge
4480.0,560.0,380.0,403.0,896.0,Partial Discharge,2.2233250620347396,0.125,1.0605263157894738,Unknown/Other,5,5.0,Partial Discharge
1651.0,90.0,33.0,45.0,2.0,Partial Discharge,0.044444444444444446,0.054512416717141125,1.3636363636363635,Unknown/Other,5,5.0,Partial Discharge
980.0,73.0,58.0,12.0,1e-06,Partial Discharge,8.333333333333333e-08,0.07448979591836735,0.20689655172413793,Partial Discharge (PD) / Low Energy Discharge,5,5.0,Partial Discharge
